번호,지역명,정책명,정책유형,정책소개,사업운영기간,사업신청기간,주관기관
875,경기,하반기 청년구직자 공공인턴 (화성시),일자리,화성시는 청년 구직자들의 공공부문 직장경험 기회 제공을 위하여 청년 미취업자를 대상으로하반기 청년구직자 공공인턴을 모집,,"2024-08-14~2024-08-19
❍ 신청기간 : 2024.8.14.(수) 09:00 ~8.19.(월) 15:00 (5일간) *기간 외 신청 불가",경기도 화성시
876,경기,우울예방프로그램 ‘내 안의 나를 찾아서’ (과천시),복지.문화,과천시정신건강복지센터에서 과천시민의 우울예방을 위한 미술치료프로그램 ‘내 안의 나를 찾아서’를 진행,,"2024-07-31~2024-08-19
○ 신청기간 : ~ 08.19.(월)",과천시 정신건강복지센터
877,경기,유튜브(YouTube) 크리에이터 양성 교육(하남시),교육,"라이브커머스 교육을 통해 지역 내 우수 인재를 발굴·육성하고, 청년 창업과 일자리 창출 도모의 기회를 제공하고자 ‘유튜브(YouTube) 크리에이터 양성 교육’ 교육생 모집",,"2024-08-01~2024-08-27
□ (접수기간) ~ 2024. 8. 27.(금) 18:00 까지",경기도경제과학진흥원
878,경기,용인청년 신용회복 지원사업(3차),복지.문화,학자금 대출금을 기한 내 상환하지 못하여 취업 및 채무변제에 어려움을 겪는 용인시 청년들에게 신용회복 및 조기상환을 지원하여 청년들의 안정적인 경제활동을 장려하는 사업,,"2024-08-09~2024-08-22
❍ 신청 기간: 2024. 8. 9.(금) 09:00 ~ 8. 22.(목) 18:00(예산 소진 시 사업종료)",용인시
879,경기,은둔고립청년들 대상 온라인 집단상담 참여자 모집(경기도),복지.문화,은둔고립청년들 대상 온라인 집단상담,,"2024-08-08~2024-08-19
-",□ 문의 및 신청: (사)파이나다운청년들 (031-703-0104)
880,경기,경기청년 일자리 매치업 취업지원(3차),일자리,경기청년 일자리 취업지원 사업,,"2024-08-19~2024-09-06
-",□ 경기도일자리재단 융합인재본부 융합사업팀(031-270-6641~3/6648)
881,경기,시흥 '꿈나무 세계속으로' 기획연수단 모집,교육,시흥 시민을 위한 해외교류사업,,"2024-08-06~2024-08-30
-",□ 시흥시 청년청소년과 청소년안전팀(☎ 031-310-3198)
882,경기,경기 재도전 학교 참가자 모집,교육,재취업 및 재창업을 희망하는 경기도민 지원 사업,,"2024-08-12~2024-08-29
-",□ 경기도평생교육진흥원(031-547-6541)
883,경기,과천 청년을 위한 운동용품 무료대여 서비스,복지.문화,과천 청년을 위한 운동용품 무료대여 서비스,,상시,과천시 청년공간 비행지구
884,경기,경기도 청년참여기구 4기 청년위원 모집,참여.권리,경기도 청년의 도정 참여 기회를 확대하고 정책의 직접적인 수요자인 청년 중심의 정책을 추진하기 위해 경기도 청년참여기구 4기 청년위원을 모집,,"2024-08-05~2024-08-18
○ 모집기간 : 2024. 8. 5.(월) ~ 8. 18.(일) 24:00까지",경기청년지원사업단
885,인천,인천광역시 청년미래센터,복지.문화,복지사각지대에 있는 신취약청년 지원을 위한 전담 기관 운영,,상시,"인천광역시 복지정책과, 보건복지부"
886,인천,군복무 인천청년 상해보험 지원,복지.문화,"군복무 청년들의 불의의 사고에 대비하는 상해보험을 지원하여 본인과 가족의 사회안전망 확보군복무(휴가·외출 포함) 중 사망, 상해, 질병 및 후유장해 등 피해발생시 보험지원 * 별도 가입 절차 없이 보험기간 중 입영 및 전입 시 자동가입, 제대 및 전출 시 자동해지",[보험기간] 2024. 3. 1. ~ 2024. 12. 31. * 보험청구기간은 3년,2024.03.01 00:00 ~ 2024.12.31 00:00,인천광역시 청년정책담당관
887,경기,파주시 청년성장프로젝트 온보딩 교육,교육,신입직원의 성공적인 직장생활 지원을 위해 무료 교육과 1:1컨설팅을 제공하는 '2024년 파주시 청년성장프로젝트' 온보딩 교육의 참여자를 모집,,*2024.08.부터 상시모집(선착순 마감),"고용노동부,파주시"
888,경기,청년창업 컨설팅ㆍ멘토링 지원 참여기업 모집 (파주시),일자리,파주시와 (재)경기테크노파크에서는 파주청년창업지원센터 입주기업(팀)의 성공 창업을지원하기 위하여 각 분야 전문가와의 컨설팅/멘토링을 지원하고자 함,,"2024-08-30~2024-12-30
ㅇ 신청기간: 2024.08.21. ~ 예산 소진 시 까지","파주시, (재)경기테크노파크"
889,경기,경기도「중소기업 청년 노동자 지원사업」2차 모집,복지.문화,경기도 중소기업 청년 노동자 지원사업,,"2024-09-05~2024-09-11
-",❍ 경기도일자리재단
890,경기,경기도「중소기업 청년 노동자 지원사업」2차 모집,복지.문화,경기도 중소기업 청년 노동자 지원사업,,"2024-09-05~2024-09-11
-",❍ 경기도일자리재단
891,경기,[화성시] 2024년 청년 월세 지원,복지.문화,화성시가 월세 거주 청년들에게 임차료를 지원해드립니다!,,"2024-09-19~2024-09-30
2024. 9. 19.(목) 09:00 ~ 9. 30.(월) 18:00",청년청소년정책과
892,경기,2024년 경기청년 일본 해외취업 참여자 모집 공고,참여.권리,"경기도일자리재단에서는 도내 청년들의 글로벌 역량강화 및 해외진출을 지원하기 위하여 2024년 「경기청년 해외진출 사업(일본)」을 추진하며, 해당
사업의 참여자 모집 및 선정을 위하여 다음과 같이 모집 공고합니다.",,"2024-09-04~2024-09-25
2024-09-04 09:00 부터 2024-09-25 23:59 까지",경기도일자리재단 정책개발추진단 글로벌팀
893,경기,무료법률상담,복지.문화,"민사, 가사, 형사 등 시민 생활과 밀접한 분야의 법률·세무·노무 상담 서비스 제공을 통해 법률적으로 어려움에 처해있는 청년들에게 도움이 될 것으로 보임.",,상시,경기도
894,경기,"저소득 청소년.청년 취업 자격증 지원 사업 [꿈찾GO, 달리GO]",복지.문화,재단법인 남양주시복지재단에서 저소득 가구 청소년 및 청년 취업 자격증 지원사업을 아래와 같이 공고합니다.,,"2024-08-01~2024-12-15
매월 1일 ~ 15일 신청
사업 기간: 2024-08-01(목) ~ 2024-12-15(일)",남양주시복지재단
895,경기,2024년 하반기 청년 취업활동 지원금 지급사업,복지.문화,"의왕시는 관내 거주 미취업 청년들의 활발한 구직활동을 위해 청년 취업활동 지원금 지급사업을 아래와 같이 추진하오니, 많은 참여 바랍니다.",,"2024-09-02~2024-11-29
2024-09-02 09:00 부터 2024-11-29 18:00 까지",의왕시청
896,경기,동두천시 신혼부부 청년 전월세보증금 대출이자 지원사업,주거,"동두천시에 주소를 두고 있는 신혼부부, 청년에게 1회 1백만원 한도, 전세대출 원금의 1~1.5% 이내 금액을 현금으로 지급",,"2024-09-23~2024-10-04
-",동두천시 복지정책과
897,경기,시흥시 사회복지 종사자 복지포인트 지원,복지.문화,민간 사회복지시설 종사자의 권익향상 및 직무 만족도 제고를 위한 복지포인트 지원사업을 추진,,상시,시흥시 복지정책과
898,경기,시흥시 산후조리비 지원,복지.문화,산모 신생아의 건강 보호 및 출산가정의 경제적 부담 완화 도모,,상시,시흥시보건소 보건정책과
899,경기,[공유물품] 고프로·미니빔 대여,복지.문화,양주시청년센터에서 고프로와 미니빔을 대여할 수 있어요!,,"2024-04-01~2024-10-31
2024.04~2024.10",양주시청년센터
900,경기,동두천시 신혼부부 청년 전월세보증금 대출이자 지원사업,주거,"동두천시에 주소를 두고 있는 신혼부부, 청년에게 1회 1백만원 한도, 전세대출 원금의 1~1.5% 이내 금액을 현금으로 지급",,"2024-09-23~2024-10-04
-",동두천시 복지정책과
901,경기,시흥시 사회복지 종사자 복지포인트 지원,복지.문화,민간 사회복지시설 종사자의 권익향상 및 직무 만족도 제고를 위한 복지포인트 지원사업을 추진,,상시,시흥시 복지정책과
902,경기,시흥시 산후조리비 지원,복지.문화,산모 신생아의 건강 보호 및 출산가정의 경제적 부담 완화 도모,,상시,시흥시보건소 보건정책과
903,경기,[공유물품] 고프로·미니빔 대여,복지.문화,양주시청년센터에서 고프로와 미니빔을 대여할 수 있어요!,,"2024-04-01~2024-10-31
2024.04~2024.10",양주시청년센터
904,경기,수원청년 전용 역세권 임대주택 역세권 새빛 청년존(Zone) 2호 입주자 모집,주거,수원특례시 거주 청년(만19세 ~ 34세)을 대상으로 시중시세의 40%~50% 수준으로 임대하는 주택,,"2024-10-07~2024-10-11
2024-10-07(월) ~ 2024-10-11.(금)",수원시청 도시재생과 주거복지팀
905,경기,수원시 난임부부 원외처방 약제비 지원(장안구),복지.문화,"난임부부 시술비 지원사업 관련 지원금액이 남은 경우 ‘난임시술과 직접적 관련 있는 원외처방 약제비’ 를 지원, 난임부부의 경제적 부담을 경감시키고 희망하는 자녀를 갖도록 지원",,상시신청,수원시 장안구보건소 모자보건실
906,경기,의왕시 골목상권 및 소상공인 지원,일자리,소상공인 ·골목상권 공동체 자립 기반 마련을 위한 지원사업을 통하여 자생력 및 경쟁력을 강화하고 지역경제 활성화 유도,,사업공고 시 안내,의왕시 지역경제위생과
907,경기,화성시 청년창업 컨설팅 지원 참여자 모집(3차-재연장),일자리,창업을 추진하는 화성시 청년들의 애로사항 해결 및 실질적 역량강화를 위한 지원 사업인 「청년창업 컨설팅 지원」 참여자를 모집,,"2024-09-25~2024-10-09
2024-09-25(수) ~ 2024-10-09(수)",화성시청 청년청소년정책과 청년일자리팀
908,경기,수원시 난임부부 원외처방 약제비 지원(영통구),복지.문화,"난임부부 시술비 지원사업 관련 지원금액이 남은 경우 ‘난임시술과 직접적 관련 있는 원외처방 약제비’ 를 지원, 경제적 부담을 경감시키고 희망하는 자녀를 갖도록 지원",,상시신청,수원시 영통구보건소 모자보건실
909,경기,수원청년 전용 역세권 임대주택 역세권 새빛 청년존(Zone) 2호 입주자 모집,주거,수원특례시 거주 청년(만19세 ~ 34세)을 대상으로 시중시세의 40%~50% 수준으로 임대하는 주택,,20241007 ~ 20241011,수원시청 도시재생과 주거복지팀
910,경기,수원시 난임부부 원외처방 약제비 지원(장안구),복지.문화,"난임부부 시술비 지원사업 관련 지원금액이 남은 경우 ‘난임시술과 직접적 관련 있는 원외처방 약제비’ 를 지원, 난임부부의 경제적 부담을 경감시키고 희망하는 자녀를 갖도록 지원",,,수원시 장안구보건소 모자보건실
911,경기,의왕시 골목상권 및 소상공인 지원,일자리,소상공인 ·골목상권 공동체 자립 기반 마련을 위한 지원사업을 통하여 자생력 및 경쟁력을 강화하고 지역경제 활성화 유도,,,의왕시 지역경제위생과
912,경기,화성시 청년창업 컨설팅 지원 참여자 모집(3차-재연장),일자리,창업을 추진하는 화성시 청년들의 애로사항 해결 및 실질적 역량강화를 위한 지원 사업인 「청년창업 컨설팅 지원」 참여자를 모집,,20240925 ~ 20241009,화성시청 청년청소년정책과 청년일자리팀
913,경기,수원시 난임부부 원외처방 약제비 지원(영통구),복지.문화,"난임부부 시술비 지원사업 관련 지원금액이 남은 경우 ‘난임시술과 직접적 관련 있는 원외처방 약제비’ 를 지원, 경제적 부담을 경감시키고 희망하는 자녀를 갖도록 지원",,,수원시 영통구보건소 모자보건실
914,경기,시흥시 사회복지 종사자 복지포인트 지원,복지.문화,민간 사회복지시설 종사자의 권익향상 및 직무 만족도 제고를 위한 복지포인트 지원사업을 추진,,,시흥시 복지정책과
915,경기,시흥시 산후조리비 지원,복지.문화,산모 신생아의 건강 보호 및 출산가정의 경제적 부담 완화 도모,,,시흥시보건소 보건정책과
916,경기,[공유물품] 고프로·미니빔 대여,복지.문화,양주시청년센터에서 고프로와 미니빔을 대여할 수 있어요!,,20240401 ~ 20241031,양주시청년센터
917,경기,"저소득 청소년.청년 취업 자격증 지원 사업 [꿈찾GO, 달리GO]",복지.문화,재단법인 남양주시복지재단에서 저소득 가구 청소년 및 청년 취업 자격증 지원사업을 아래와 같이 공고합니다.,,20240801 ~ 20241215,남양주시복지재단
918,경기,수원시 효도수당,복지.문화,80세 이상 직계존속과 직계비속이 3세대 이상으로 구성되어 수원시에 5년 이상 연속 거주하는 가정에 수당 지원을 통한 복지 증진,,,수원시 노인복지과
919,경기,시흥시 사회복지 종사자 복지포인트 지원,복지.문화,민간 사회복지시설 종사자의 권익향상 및 직무 만족도 제고를 위한 복지포인트 지원사업을 추진,,상시,시흥시 복지정책과
920,경기,경기도발달장애인지원센터 부모휴식 지원사업,복지.문화,"발달장애인의 건강증진과 사회활동 참여를 위한 다양한 프로그램 제공, 자원봉사자와 함께하는 레저스포츠 및 예술 프로그램 참여",,20240923 ~ 20241120,경기도 발달장애인지원센터
921,경기,동두천시 신혼부부 청년 전월세보증금 대출이자 지원사업,주거,"동두천시에 주소를 두고 있는 신혼부부, 청년에게 1회 1백만원 한도, 전세대출 원금의 1~1.5% 이내 금액을 현금으로 지급",,20240923 ~ 20241004,동두천시 복지정책과
922,경기,[화성시] 2024년 청년 월세 지원,복지.문화,화성시가 월세 거주 청년들에게 임차료를 지원해드립니다!,,20240919 ~ 20240930,청년청소년정책과
923,경기,2024년 경기청년 일본 해외취업 참여자 모집 공고,참여.권리,"경기도일자리재단에서는 도내 청년들의 글로벌 역량강화 및 해외진출을 지원하기 위하여 2024년 「경기청년 해외진출 사업(일본)」을 추진하며, 해당
사업의 참여자 모집 및 선정을 위하여 다음과 같이 모집 공고합니다.",,20240904 ~ 20240925,경기도일자리재단 정책개발추진단 글로벌팀
924,경기,무료법률상담,복지.문화,"민사, 가사, 형사 등 시민 생활과 밀접한 분야의 법률·세무·노무 상담 서비스 제공을 통해 법률적으로 어려움에 처해있는 청년들에게 도움이 될 것으로 보임.",,,경기도
925,인천,"동구 청년 구직자 취업지원(헤어, 메이크업, 사진 촬영비 및 정장 대여비, 면접 특강비)",일자리,"취업을 준비하고 있는 청년에게 구직활동에 필요한 헤어, 메이크업, 사진 촬영비 및 정장 대여비, 면접 특강비 등을 지원하여 경제적 부담 경감을 도모",2024-01-01 ~ 2024-12-31,"2024-01-01~2024-11-30
2024.01.01 00:00 ~ 2024.11.30 23:59",인천광역시 동구 일자리경제과
926,인천,(연수구) 청년 자격증 응시료 지원,일자리,취업에 어려움을 겪고 있는 인천 청년에게 자격증 응시료 지원을 통한 경제적 부담 경감 및 사회진입 활성화 도모,2024. 2. ~ 11.,"2024-02-01~2024-11-30
2024. 2. 1.(09시) ~ 11. 30.",인천광역시 청년정책담당관
927,경기,파주시 청년성장프로젝트 온보딩 교육,교육,신입직원의 성공적인 직장생활 지원을 위해 무료 교육과 1:1컨설팅을 제공하는 '2024년 파주시 청년성장프로젝트' 온보딩 교육의 참여자를 모집,,,"고용노동부,파주시"
928,경기,청년창업 컨설팅ㆍ멘토링 지원 참여기업 모집 (파주시),일자리,파주시와 (재)경기테크노파크에서는 파주청년창업지원센터 입주기업(팀)의 성공 창업을지원하기 위하여 각 분야 전문가와의 컨설팅/멘토링을 지원하고자 함,,20240830 ~ 20241230,"파주시, (재)경기테크노파크"
929,경기,경기도「중소기업 청년 노동자 지원사업」2차 모집,복지.문화,경기도 중소기업 청년 노동자 지원사업,,20240905 ~ 20240911,❍ 경기도일자리재단
930,경기,유튜브(YouTube) 크리에이터 양성 교육(하남시),교육,"라이브커머스 교육을 통해 지역 내 우수 인재를 발굴·육성하고, 청년 창업과 일자리 창출 도모의 기회를 제공하고자 ‘유튜브(YouTube) 크리에이터 양성 교육’ 교육생 모집",,20240801 ~ 20240827,경기도경제과학진흥원
931,경기,용인청년 신용회복 지원사업(3차),복지.문화,학자금 대출금을 기한 내 상환하지 못하여 취업 및 채무변제에 어려움을 겪는 용인시 청년들에게 신용회복 및 조기상환을 지원하여 청년들의 안정적인 경제활동을 장려하는 사업,,20240809 ~ 20240822,용인시
932,경기,은둔고립청년들 대상 온라인 집단상담 참여자 모집(경기도),복지.문화,은둔고립청년들 대상 온라인 집단상담,,20240808 ~ 20240819,□ 문의 및 신청: (사)파이나다운청년들 (031-703-0104)
933,경기,경기 재도전 학교 참가자 모집,교육,재취업 및 재창업을 희망하는 경기도민 지원 사업,,20240812 ~ 20240829,□ 경기도평생교육진흥원(031-547-6541)
934,경기,경기청년 일자리 매치업 취업지원(3차),일자리,경기청년 일자리 취업지원 사업,,20240819 ~ 20240906,□ 경기도일자리재단 융합인재본부 융합사업팀(031-270-6641~3/6648)
935,경기,시흥 '꿈나무 세계속으로' 기획연수단 모집,교육,시흥 시민을 위한 해외교류사업,,20240806 ~ 20240830,□ 시흥시 청년청소년과 청소년안전팀(☎ 031-310-3198)
936,경기,과천 청년을 위한 운동용품 무료대여 서비스,복지.문화,과천 청년을 위한 운동용품 무료대여 서비스,,,과천시 청년공간 비행지구
937,경기,우울예방프로그램 ‘내 안의 나를 찾아서’ (과천시),복지.문화,과천시정신건강복지센터에서 과천시민의 우울예방을 위한 미술치료프로그램 ‘내 안의 나를 찾아서’를 진행,,20240731 ~ 20240819,과천시 정신건강복지센터
938,경기,맞춤형 취업 컨설팅 (성남시),일자리,취업 의지가 있지만 취업 정보나 지식이 부족해 취업에 어려움을 겪는 청년들을 지원하기 위한 「맞춤형 취업 컨설팅」 사업 참여자를 모집,,20240805 ~ 20240816,경기도 성남시
939,경기,하반기 청년구직자 공공인턴 (화성시),일자리,화성시는 청년 구직자들의 공공부문 직장경험 기회 제공을 위하여 청년 미취업자를 대상으로하반기 청년구직자 공공인턴을 모집,,20240814 ~ 20240819,경기도 화성시
940,경기,경기도 청년참여기구 4기 청년위원 모집,참여.권리,경기도 청년의 도정 참여 기회를 확대하고 정책의 직접적인 수요자인 청년 중심의 정책을 추진하기 위해 경기도 청년참여기구 4기 청년위원을 모집,,20240805 ~ 20240818,경기청년지원사업단
941,경기,하반기 청년층 인턴사업 (평택시),일자리,청년 미취업자를 대상으로 공공기관 등에서 일 경험 기회 제공으로 개인 직무능력 향상 및 민간일자리로의 이동을 지원하기 위하여 2024년 하반기 「청년층 인턴사업」 참여자를 모집,,20240805 ~ 20240814,경기도 평택시
942,경기,귀농인 정착지원 주택임대 사업 입주자 모집(양평군),주거,귀농인 정착지원 주택임대 사업,,20240730 ~ 20240812,경기도 양평군
943,경기,신혼부부 전세자금 대출이자 지원 대상자 모집 2차 (안산시),주거,안산시에서 2024년 2차 신혼부부 전세자금 대출이자를 지원,,20240813 ~ 20240827,경기도 안산시
944,경기,청년 신혼부부 주택 전월세자금 대출이자 지원사업 (양평군),주거,청년 신혼부부의 정주여건 개선을 위한 「양평군 청년 신혼부부 주택 전월세자금 대출이자 지원 사업｣ 대상자 모집,,20240805 ~ 20240823,경기도 양평군
945,경기,양평愛 청년통장 6기 (양평군),복지.문화,"양평군에 거주하며 근로중인 청년들의 자산형성을 지원하여, 관내 중소기업 등에 취업을 촉진하고 장기근속을 응원하고자 「양평愛 청년통장」사업의 참여자 모집",,20240812 ~ 20240823,경기도 양평군
946,경기,광명시 청년 레벨UP 프로그램,교육,「광명시 청년 레벨UP 프로그램」은 채용 트렌드에 맞춘 집중 역량강화 교육으로 체계적인 커리큘럼 및 개인별 컨설팅 등 4회 진행으로 완성하는 프로그램,,20240801 ~ 20240821,경기도 광명시
947,경기,청년 멘토링 지원사업 청년 멘티(참여자) 모집(과천시),교육,"과천시 거주 청년들의 진로모색, 역량강화, 고민상담, 미래 설계 등을 지원하기 위하여 「과천시 청년 멘토링」 사업을 운영하고자 합니다.
취업 준비, 인생설계에 있어 도움을 받고 싶은 청년 멘티(참여자)를 모집하오니 관심 있는 청년들의 많은 관심과 참여를 바랍니다.",,20240805 ~ 20240812,과천시
948,경기,청년 이사비 및 중개보수비 지원 사업 2차 (경기도),주거,청년의 주거비 부담 경감을 위한 이사비 및 중개보수비 지원,-,20240812 ~ 20240906,경기청년지원사업단
949,경기,제2차 경기도 청년 면접수당,일자리,경기도 청년의 적극적 구직활동 지원을 위한 면접수당 모집 공고,,20240807 ~ 20240930,□ 경기도일자리재단
950,경기,8월 청년챙김(광주시),복지.문화,"구직단념청년과 자립준비청년을 위한 3단계(비움, 채움, 세움) 프로그램",,20240801 ~ 20240831,□ 광주시 청년지원센터(070-5015-0624)
951,경기,양주시 경기청년 역량강화 기회지원 사업(어학 자격시험 응시료 및 수강료 지원),일자리,어학 자격시험 응시료 및 수강료 지원,,20240502 ~ 20241130,□ 양주시 아동청소년과 (031-8082-5872)
952,경기,정신건강 치료비 지원 '청(소)년 마인드 케어 사업'(안양시),복지.문화,정신건강 치료비 지원 사업,,,"□ 안양시정신건강복지센터(☎ 031-360-2989, 2390)"
953,경기,동안청소년수련관 후기청소년 사업 '청춘을 잡아라'(안양시),복지.문화,또래와 함께 힐링하고 청년멘토와 함께 고민도 해결하는 프로그램,,,□ 동안청소년수련관 (☎ 031-8045-4900~4901)
954,경기,의정부시 1인창조기업 지원센터 입주기업 모집,일자리,중소벤처기업부와 의정부시가 지원하고 신한대학교 산학협력단에서 시행하는 '1인 창조기업지원센터'사업,,,□ 의정부시 1인 창조기업 지원센터 (☎ 031-850-5817/5819)
955,경기,예술로 안산 <패밀리 예술토랑>,교육,"안산시의 무료예술교육프로그램(가족구성원이 예술을 통해 각자의 감정을 표현하고 소통하는 방법을 배우며, 함께 공동작품을 만들어가는 활동)",,20240701 ~ 20241101,"문화체육관광부, 한국문화예술교육진흥원"
956,경기,하남스타트업캠퍼스 투자유치 역량강화 프로그램 2기 참여기업 모집,일자리,하남 지역 내 스타트업 창업가 및 예비창업자를 대상으로 기업의 IR 역량강화를 위한 투자유치 역량강화 프로그램을 진행,,20240715 ~ 20240811,하남도시공사
957,경기,"청년 마인드 톡톡 캠페인 (8월,용인 처인구)",복지.문화,용인시 정신건강복지센터와 용인청년LAB에서 청년들의 정신 건강을 위한 캠페인을 진행(상담),,20240730 ~ 20240820,"용인시정신건강복지센터,용인청년LAB"
958,경기,경기도 청년 복지포인트 2차 모집,복지.문화,청년 노동자의 복지향상과 일자리 미스매치 해소를 위한 '경기도 청년 복지포인트' 공고,,20240801 ~ 20240812,□ 경기도
959,경기,(재)성남시장학회 하반기 대학 장학생 선발,복지.문화,성남시 장학회에서 진행하는 대학 장학생 선발,,20240805 ~ 20240809,재단법인 성남시장학회
960,경기,공항소음 대책지역 여행활동 지원사업 (김포시),복지.문화,김포시는 공항소음대책지역 내 거주 시민들에게 김포시 여행활동을 지원하여 주민 복지 증진 및 김포지역 관광 및 경제활성화에 기여하고자 김포시 공항소음대책지역 여행활동 지원 대상자 모집,,20240719 ~ 20240805,경기도 김포시
961,경기,청년마음다방 (과천시),복지.문화,"과천 청년들의 우울감, 스트레스 완화를 위해 인지행동치료 집단프로그램 ‘왜, 내 마음이 힘들지?’를 진행",,20240719 ~ 20240804,"과천비행지구, 과천시정신건강복지센터"
962,경기,용인청년 심리정서 프로그램 8월 (기흥),복지.문화,"MBTI보다 섬세하게 나를 알아가는 시간, TCI 성격&기질검사",,20240722 ~ 20240802,용인청년LAB
963,경기,신혼부부 무주택자 전월세 보증금 대출이자 지원 (군포시),주거,「군포시 신혼부부 무주택자 전월세 보증금 대출이자 지원 조례」에 의거하여 군포시에 정착하는 신혼부부의 주거비 부담 완화를 통해 자립기반을 강화하고 안정된 정주여건을 조성,,20240722 ~ 20240802,경기도 군포시
964,경기,분당야탑청소년수련관 하반기 청년창업팀 모집 (성남시),일자리,성남시청소년재단 분당야탑청소년수련관과 함께할 청년창업팀 모집,,20240726 ~ 20240806,분당야탑청소년수련관
965,경기,『벼락 맞은 정장』 면접정장 무료대여사업 (부천시),일자리,부천시 구직자의 면접준비 비용 절감 및 취업 성공 기원,,,경기도 부천시
966,경기,청년 면접사진 촬영지원 사업(하남시),일자리,하남시 청년 미취업자의 고용촉진을 위하여 청년 면접사진 촬영지원 사업을 실시,,20240101 ~ 20241220,경기도 하남시
967,경기,생활 습관 개선 프로젝트 '안녕하세요' 참여자 모집(성남시),복지.문화,생활습관 및 대인관계 형성을 위한 프로젝트,,20240729 ~ 20241122,성남시청소년재단
968,경기,컴퓨터 활용능력 2급 실기 과정 (이천시),교육,청년구직자들의 성공취업을 위한 컴퓨터 활용능력 2급 실기 과정 운영,,20240715 ~ 20240801,이천시청 일자리센터
969,경기,화성시 청년활동포인트 제 3차,복지.문화,화성시는 지역사회에 대한 청년의 관심 고취 및 청년의 사회참여 활동 만족도 제고를 위하여 다음과 같이 「2024년 화성시 청년활동포인트제」 참여자를 모집,,20240805 ~ 20240906,경기도 화성시
970,경기,"청년창업자 임차료 지원(2차, 화성시)",일자리,창업을 추진하는 화성시 청년들의 초기자립기반 마련 및 일자리 창출을 위해 상가 임차료를 지원하는 「청년창업자 임차료 지원」 참여자를 모집,,20240722 ~ 20240805,경기도 화성시
971,경기,YES청소년동아리 하반기 모집(하남시),참여.권리,하남시 청소년 동아리 모집,,20240702 ~ 20240807,"경기도 하남시, 하남시 청소년수련관"
972,경기,하반기 경기도 대학생 학자금 대출이자 지원,교육,경기도 대학생 학자금 대출이자 지원,,20240701 ~ 20240816,경기도
973,경기,신혼부부 주택임차보증금 대출이자 지원사업 (의왕시),주거,"「주거기본법」 제15조, 「의왕시 주거복지 지원 조례」 제5조에 따라 2024년 신혼부부 주택임차보증금 대출이자 지원사업의 대상자를 모집",,20240729 ~ 20240816,경기도 의왕시
974,인천,(중구) 인천시 청년월세 지원사업,주거,경제적 어려움을 겪는 청년들의 주거비용 부담 경감,2024. 2. ~ 2025. 2.,"2024-02-26~2025-02-25
2024.2.26. ~ 2025.2.25. (1년간)",인천광역시 청년정책담당관
975,인천,용접기술 현장인력 양성과정(용접 교육생 모집),일자리,"□ 용접 자격증 교육 및 취업연계를 통한 청년 일자리 지원
- 모집일정: 2024. 6. 5.(수) ~ 8. 9.(금)(교육 시작 전까지 상시 신청 접수 가능)
- 교육대상 선발: 2024. 8. 12.(월) ~ 8. 16.(금)
- 교육일정: 2024. 8. 17. ~ 2024. 11. 17.(해당 기간중 38회 수업)
* 일자별 교육 세부사항은 '인하공업전문대학 평생교육원' 홈페이지 공지사항 내 첨부파일 참조
- 교육장소: 인하공업전문대학 내 용접실습실 및 8호관 강의실
- 교육내용: 용접기술 현장인력양성과정(200H, 용접자격증 이론 40시간+실습 160시간)
- 신청방법: 인하공업전문대학 부설 평생교육원 홈페이지 참조(하단 포스터 QR코드 참조)",2027. 8. 17. ~ 11. 17.,20240605 ~ 20240809,인천광역시 미추홀구
976,경기,[스터디반-노션] 신청자 모집(평택시),교육,평택시지역특화청년사업으로 업무와 일상의 효율을 높여주는 노션 사용법,,20240715 ~ 20240731,"평택시 청년지원센터 청년쉼,표"
977,경기,안산시 청년 부동산 중개보수 및 이사비 지원사업 지원대상자 모집,주거,안산시 청년들의 주거비 부담 경감을 위해 『2024년 안산시 청년 부동산 중개보수 및 이사비 지원사업』 대상자를 모집,,20240801 ~ 20240930,경기도 안산시
978,경기,부천시 취·창업 청년 지원 주택 예비입주자 모집,주거,부천시에 주소를 둔 청년(만 19세 ~ 39세)를 대상으로 시중 시세의 40%~50%수준으로 임대하는 주택,,20240722 ~ 20240805,경기도 부천시
979,인천,2024년 동구 청년 컬처페이 지원사업,복지.문화,청년들의 문화·여가 및 스포츠 활동을 지원하여 문화생활 향유 및 자기계발 기회 제공,2024. 8. 1. ~ 12. 31.,20240801 ~ 20240824,인천광역시 동구청(일자리경제과)
980,경기,SCT-KFD 검사' 8월 심리진단(광주시),복지.문화,광주시 청년지원센터 역량강화프로그램,,20240722 ~ 20240730,□ 광주시 청년지원센터(070-5015-0639)
981,경기,미술심리 워크숍' 8월 심리진단(광주시),복지.문화,광주시 청년지원센터 역량강화프로그램,,20240722 ~ 20240803,□ 광주시 청년지원센터(070-5015-0639)
982,경기,GTQ 포토샵 1급 시험대비반(광주시),교육,광주시 청년지원센터 역량강화프로그램,,20240719 ~ 20240730,□ 광주시 청년지원센터(031-8027-0371)
983,경기,경기청년 맞춤형 채용지원 서비스 2기 참여자 모집,일자리,경기청년 맞춤형 채용지원 서비스 '나만의 취업전문컨설턴트',,20240801 ~ 20240812,□ 경기도일자리재단 융합사업팀(031-270-6654)
