번호,정책유형,정책명,정책 요약,주관기관
644,참여.권리,[한국사회투자] Impact Future 프로그램 2기_스타트업 투자지원 사업(~10/23),"한국사회투자'가 기후테크, 농식품테크, 사회서비스, 임팩트 모빌리티 기업을 육성합니다. '설립 3년 미만의 스타트업', '설립 후 7년 이내 기술기반 스타트업'에게 엑셀러레이터, 투자프로그램을 제공합니다. 대한민국 딥테크 사회혁신 기업들의 많은 관심과 신청바랍니다.",-
645,참여.권리,2024 서울창업허브 공덕 하반기 입주기업 모집,"서울경제진흥원(SBA) 서울창업허브 공덕에서는 성장가능성이 있는 유망 스타트업을 발굴하여 역량강화 및 성장지원 프로그램 등 보육을 통해 유니콘 기업으로 육성하고자 하오니, 서울창업허브 공덕과 함께 성장하길 희망하는 기업의 많은 관심과 참여바랍니다.",-
646,참여.권리,2024 로보월드 로봇 스타트업 IR Innovation Day 개최 공고,"2024 로보월드 로봇 관련 스타트업 IR Innovation Day 행사 계획을 다음과 같이 공고하오니, 로봇 기술이 필요한 AI 스타트업, AI 기술이 필요한 로봇 스타트업, 로봇 산업과 연관된 스타트업의 많은 관심과 신청을 부탁 드립니다",한국로봇산업협회
647,교육,2024년 경기창업허브 운영 「ESG 교육(경영/창업) 및 컨설팅」참여자 모집,다양한 관점에서 ESG의 중요성과 필요성에 대해서 논의하고 ESG 창업 생태계 활성화와 ESG에 대한 관심도를 높이기 위한 ESG 교육 및 컨설팅입니다.,경기도경제과학진흥원
648,참여.권리,공공기술 투자 및 창업공모 2차 모집(공공연구성과 확산 및 실용화 사업),공공기술을 활용한 우수 사업모델을 발굴하여 투자하기 위한 “공공연구성과 확산 및 실용화 사업”에 참여할 역량 있는 초기기업을 아래와 같이 모집하오니 많은 관심과 참여 바랍니다.,과학기술정보통신부
649,일자리,중소기업 재직자 우대 저축공제,중소기업 재직자의 장기재직 유도 및 자산 형성 지원을 통한 중소기업 인력난 해소,중소벤처기업부
650,참여.권리,2024 스타트업콘(Startup:CON),2024 스타트업콘 행사를 다음과 같이 개최하오니 참여를 희망하는 분들은 자유롭게 신청해주시기 바랍니다.,-
651,참여.권리,서울과학기술대학교 메이커스페이스 레이저커팅기 사용자 교육,장비교육을 원하는 (예비)창업자들에게 레이저커팅기 안전교육과 사용자 교육을 진행하오니 많은 관심과 지원 부탁드립니다.,-
652,참여.권리,[경희창업보육센터(서울)] 2024년 하반기 신규 입주기업 모집 공고,경희대학교에서는 기술/지식집약형 중소벤처기업을 목표로 하는 우수한 기술과 참신한 벤처 마인드를 갖춘 창업 초기 사업자 및 예비창업자를 모집합니다 많은 관심 부탁드립니다,-
653,참여.권리,성남 중장년 기술창업센터 신규 입주기업 모집,"성남산업진흥원에서 운영하는『성남 중장년 기술창업센터』의 신규 입주기업을 다음과 같이 모집하오니, 전문경력을 보유하고 기술창업을 준비 중인 (예비)창업자분들의 많은 관심과 지원 바랍니다.",-
654,참여.권리,2024년 성남시 소규모점포 청년창업 지원사업 참여자 모집 공고,소규모점포 창업에 의지가 있는 청년 (예비)창업자에게 창업 컨설팅 및 사업화자금을 지원하는「2024년 소규모점포 청년창업 지원사업」참여자를 다음과 같이 공개 모집합니다.,-
655,참여.권리,2024년 바이오벤치마킹스쿨(BBS) 참여자 모집(12기),"제약/바이오 관련 스타트업, 투자사, 제약사 직원 등 바이오 비지니스 생태계에 관심 있는 모든 분들을 대상으로 바이오 벤치마킹 스쿨 12기 수강자를 아래와 같이 모집합니다.",-
656,참여.권리,2024년 세종창조경제혁신센터『스타트업 혁신제품 선(先)보급 지원사업』2차 참여 스타트업 모집,스타트업을 대상으로 지속•자립형 스타트업 육성을 위해『스타트업 혁신제품 선(先)보급 지원사업』2차 참여기업 모집을 다음과 같이 모집공고하오니 지역 스타트업의 많은 참여 바랍니다.,-
657,참여.권리,"『2024년 기술임치기업 기술가치평가(투자참고용 / 1,500만원 상당) ‧ IR지원사업』참여 기업 모집 공고",우수 임치 기술을 보유한 국내 유망 중소기업을 발굴하고 투자유치 기회를 제공하기 위해 2024년 기술임치기업 기술가치평가‧IR지원사업 참여기업을 다음과 같이 모집하오니 많은 관심과 참여 바랍니다.,중소벤처기업부
658,참여.권리,(물산업분야) 2024년 하반기 벤처창업기업제품 발굴 및 추천지원 공고,한국환경공단은 기술력이 우수한 물산업분야 벤처창업기업의 공공조달시장 진입 촉진 및 공공구매판로를 확대하기 위하여 조달청에서 운영하는 '벤처나라'에 '벤처창업혁신조달상품'(벤처나라 등록상품) 지정지원을 위한 계획을 공고하오니 희망하는 기업의 많은 참여를 부탁드립니다.,-
659,참여.권리,2024년 청년의 날 기념 <커리어 부트캠프> 참여자 모집(서울 여의도공원),"청년의 권리보장 및 청년발전의 중요성을 알리고, 청년문제에 대한 관심을 높이기 위해 제정한 법정기념일 * 매년 9월 세번째 토요일 (2024년 9월 21일 토요일)","국무조정실,"
660,참여.권리,「2024년 서울바이오허브 글로벌 성장 가속 프로그램」전문 수행기관 모집,"국내 바이오·의료 창업기업의 해외 진출 활성화를 위하여 「2024년 서울바이오허브 글로벌 진출 성장 가속 프로그램」을 운영할 전문 수행기관을 모집하오니, 관심 있는 기관(업)은 아래의 절차에 따라 신청 바랍니다.",-
661,참여.권리,「아시아 창업 엑스포(FLY ASIA 2024)」 1:1 밋업 참가 기업 연장 모집(부산),"부산시와 부산테크노파크에서는 FLY ASIA 2024 밋업 참가 기업을 연장 모집하고 있습니다. 투자 유치 및 잠재고객 발굴, 해외 시장 진출 등 스케일업을 도모하는 스타트업의 많은 관심과 참여 부탁드립니다.",-
662,참여.권리,「대한항공 항공우주분야 오픈이노베이션 프로그램」 모집 공고,인천창조경제혁신센터에서는 대한항공와 함께 투자 유치를 희망하는 우수한 기업을 발굴하고 지원하기 위하여 「대한항공 항공우주분야 오픈이노베이션 프로그램」을 모집하오니 많은 관심과 참여 바랍니다. * 항공우주산업 분야 스타트업 및 중소기업,중소벤처기업부
663,복지.문화,청년도약계좌 기여금 지원 확대(9월)(신청기간 9.3~9.13),월 기여금 지원확대 월 최대 2.4만원 -> 월 최대 3.3만원 5년간 최대 지원 금액 확대 144만원 -> 198만원 만기 시 최대 60만원 증가 -> 연 9.54% 일반적금상품에 가입한 효과,서민금융진흥원
664,교육,중소기업취업연계장학금(희망사다리Ⅰ유형)(2024.2학기),(사업목적) 중소·중견기업 인력 수요와 고학력 구직자 간 미스매치 완화를 위해 중소·중견기업 취업을 희망하는 대학생에게 인센티브를 지원하기 위함,한국장학재단
665,참여.권리,숙박세일페스타(비수도권),한국관광공사와 함께 추석 연휴를 맞아 오는 27일부터 ‘대한민국 숙박세일 페스타’를 개최해 전 국민을 대상으로 비수도권 지역 숙박할인권 20만 장 배포,문화체육관관부
666,참여.권리,국가보훈부 2030자문단,국가보훈부에서는 보훈정책에 대해 청년 세대의 인식을 전달하는 핵심 창구 역할을 수행할 국가보훈부 2030 자문단 공개 모집,국가보훈부
667,복지.문화,고위험 임산부 의료비 지원,"고위험 임신의 적정 치료와 관리에 필요한 진료비를 지원하여 경제적 부담을 줄이고, 건강한 출산을 보장합니다.",출산정책과
668,복지.문화,장애수당,생활이 어려운 장애인에게 장애수당을 지급하여 생활의 안정을 돕습니다,장애인자립기반과
669,참여.권리,2024년도 예비창업패키지 지원사업 사전인큐베이팅 프로그램(거점형) 참여자 모집 공고,역량있는 예비창업자를 사전에 발굴ㆍ육성하고 아이디어 구체화를 지원하는 『사전 인큐베이팅 프로그램(거점형)』참여자를 다음과 같이 공고하여 모집합니다.,-
670,참여.권리,공정채용 숏폼 공모전,"공정한 채용문화 확산을 위한「2024 공정채용 숏폼」 공모전으로, 청년들이 취업을 준비하며 바라던 공정채용의 모습 및 직접 경험했던 불공정채용의 사례 등을 주제로 한 숏폼제작 공모전",고용노동부
671,참여.권리,우리말 가꿈이 27기 대외활동 참여자 모집,"사단법인 한글문화연대가 주관하며 문화체육관광부가 주최하는 동아리로, 우리말과 한글을 가꾸고 지키는 대학생 연합동아리  ‘우리말가꿈이 27기’를 모집",문화체육관광부
672,참여.권리,(복지부) 국민건강증진 종합계획 정책제안 공모전,국민의 건강증진을 위한 정책 및 사업을 발굴하기 위해 제6차 국민건강증진종합계획 국민참여 정책 제안 공모전 개최,보건복지부
673,주거,청년행복주택(청년을 위한 공적임대주택 공급),청년들의 주거복지 실현을 위해 청년공공임대주택(청년행복주택) 사업 및 청년 공공지원 민간주택임대 사업 실시,국토교통부
674,일자리,2024년 신사업창업사관학교(클로컬상권),창의·혁신적인 아이템 등을 보유한 예비 소상공인의 글로컬 상권 내 성공적인 창업을 지원,소상공인시장진흥공단
675,참여.권리,제2차 청년토론 참여자 모집,통일부에서는 통일·대북정책에 대한 청년 세대의 의견을 수렴하기 위한 토론 참여자 모집,통일부
676,참여.권리,자립준비청년 자조모임(바람개비서포터즈),시·도 자립지원전담기관을 중심으로 자립준비청년 자조모임(바람개비서포터즈)을 운영하여 지역 내 자립준비청년간 지지체계를 강화하는 프로그램,보건복지부
677,참여.권리,청년예술가 지원사업(2024-2025 한국-캐나다 상호문화교류의 해 기념 한국 청년예술가 캐나다 쇼케이스 참가지원,문화체육관광부와 (재)한국국제문화교류진흥원에서 주최하는 2024-2025 한국-캐나다 상호문화교류의 해 사업의 일환으로 한국 청년예술가의 국제교류 및 해외진출 기회를 확대하기 위한 '캐나다 국제공연예술마켓(CINARS Biennale 2024)쇼케이스 참가지원 사업,문화체육관광부
678,복지.문화,지역사회 통합건강증진사업,"지역사회를 기반으로 다양한 건강증진사업을 내실 있게 추진하여 지자체 건강수준 향상, 국가 건강수명 및 삶의 질 증대를 도모합니다.",건강정책과
679,참여.권리,룩셈부르크 스타트업 육성 프로그램 ‘핏포스타트’ 참가 기업 모집,"룩셈부르크 정부 산하 기관 룩스이노베이션(Luxinnovation)에서 유럽 진출을 원하는 혁신적인 디지털벤처스(Digital Ventures), 헬스테크 (Healthtech), 우주 (Space)분야의 초기 스타트업 발굴 및 성공적인 유럽 비즈니스 기회 제공을 위해 2024년도 '핏 포 스타트(FIT 4 START)'에 참가할 한국 기업을 모집합니다. Fit 4 Start는 기업가들에게 유럽 시장에서 사업을 시작하고 확장에 필요한 코칭과 멘토링, 지분이 없는 자금 지원, 주요 스타트업 분야의 네트워크 접근을 제공합니다. 2015년부터 35개국의 165개 이상의 기업이 참여하여 무지분 형태의 자금 1,250만 유로가 지원되었습니다. 한국에는 Safe AI, 그리고 Posture AI가 참여하였습니다.5년 미만의 초기 스타트업이면, 해당 분야 확인 후 2024년 8월 12일(월)까지 신청할 수 있으며, 자세한 내용은 하단 내용 및 첨부 파일 참고 바랍니다.",주한
680,교육,2024년도 한미 첨단분야 청년교류 지원사업 제2기 장학생 선발 공고(7.29-9.26서류접수),"국 첨단산업 분야의 기술·경험 습득 기회를 제공하고, 글로벌 인재 육성을 위해 美 대학에 교환학생 파견 예정인 이공계 청년인재 모집",산업통상자원부
681,복지.문화,"2024년 가족돌봄청(소)년 전담지원 시범사업(인천, 울산, 충북, 전북에 거주하는 만 13세 이상 ~ 34세)",아픈 가족을 돌보는 청소년과 청년들에게 장학금과 자기돌봄비 지원,보건복지부
682,교육,자립준비청년 자조모임(바람개비서포터즈),먼저 자립을 경험한 자립준비청년들이 자립 후배들을 위한 길잡이가 되어주는 자립 멘토 모임,보건복지부
683,복지.문화,온라인 자립준비청년 통합정보 플랫폼(자립정보ON),"자립준비청년에게 필요한 자립지원 정책, 지원 사업, 교육 영상 등 다양한 자립정보를 통합적으로 제공하는 온라인 플랫폼",보건복지부
684,참여.권리,자립지원 프로그램 우수사례 공모전,"2024 자립지원 프로그램 우수사례 공모전을 아래와 같이 진행하오니 많은 관심과 참여를 부탁드립니다. □ 공모전 개요 ○ (공모전명) 2024 자립지원 프로그램 우수사례 공모전 ○ (공모대상) 자립준비청년, 보호연장청년 ○ (공모기간) 2024. 6. 10.(월) ~ 2024. 9. 1.(일) ○ (공모내용) 아동복지시설, 가정위탁 보호 중인 보호아동 및 자립준비청년의 자립역량 강화를 위한 프로그램 아이디어 제안 ○ (공모분야) ➊보호아동 대상, ➋보호연장청년 대상, ➌자립준비청년 대상 ○ (공모주제) 자립지원 표준화프로그램 8대 영역(심리정서 포함) - ➊일상생활기술, ➋지역사회자원활용기술, ➌자기관리기술, ➍사회적기술, ➎자산관리기술, ➏진로탐색기술, ➐직업생활기술, ➑사회진출기술, ➒심리정서 지원 ○ (공모방법) [붙임3. 청년용 서식] 작성 후 이메일 제출(수신처: jarip@ncrc.or.kr) * 메일 제목: 자립지원 프로그램 우수사례 공모_성명 * 첨부파일명: 성명_공모분야_공모주제_프로그램명 * 첨부파일 속성: 한글문서(.hwp)로 제출 ※ 자세한 사항은 [붙임1. 2024 자립지원 프로그램 우수사례 공모전 안내]를 참고해주세요!",보건복지부
685,복지.문화,보호연장아동 자립지원프로그램,자립을 직전에 둔 보호연장아동 대상 특화된 8대영역 자립프로그램을 제공함으로 자립에 대한 동기부여 및 자립역량 강화도모를 위한 프로그램,보건복지부
686,주거,자립준비청년 LH 건설임대주택 우선지원 대상자 추천,자립준비청년(보호종료아동)에게 건설임대주택 우선 지원사업,한국토지주택공사
687,복지.문화,디딤씨앗통장(CDA),보호대상아동 및 기초생활수급가구 아동이 사회에 진출 시 필요한 초기비용 마련을 위하여 정부에서 운영하는 아동자산형성지원 사업입니다. 아동 또는 후원자가 매월 일정금액 적립 시 정부에서 적립금의 2배(월 최대 10만원)를 추가 매칭 지원 사업,보건복지부
688,복지.문화,난임∙우울증상담센터,"난임 부부 또는 임산부 정신건강 위험군에 대해 적시에 적절한 전문 상담 서비스 제공함으로써 정서안정, 정신건강 및 삶의 질 증진 사업",보건복지부
689,참여.권리,경제배움e+,일상생활에서 마주하는 경제 문제를 합리적으로 해결하는 데 도움이 되는 교육 자료와 정보 제공,기획재정부
690,일자리,병역진로설계,"입영 전 자신의 적성, 전공 등을 고려 군 복무 및 전역 후 진로를 체계적으로 설계하도록 지원하는 프로그램 (입영 전) 병무청 - 병역진로설계 (복무 중) 각 군 - 개인경력개발 (전역 후) 고용부/보훈부 등 취업 지원",병무청
691,참여.권리,청년인문공감 문화자유교실,일상에서 벗어나 자신의 삶을 성찰하고 새로운 삶의 방식을 모색하는 「청년인문공감 '문화자유교실' 운영,문화체육관광부(문화정책과)
692,복지.문화,의료급여임신.출산진료비지원,임신 또는 출산한 의료급여 수급자와 2세미만 자녀에게 의료비를 지원하여 저소득층 국민보건 향상과 사회복지 증진에 기여합니다.,기초의료보장과
693,복지.문화,의료급여임신.출산진료비지원,임신 또는 출산한 의료급여 수급자와 2세미만 자녀에게 의료비를 지원하여 저소득층 국민보건 향상과 사회복지 증진에 기여합니다.,기초의료보장과
694,교육,취업후상환학자금_생활비(하반기),"학자금 지원 9구간 이하 학부생(만35세 이하) 및 학자금 지원 4구간 이하 대학원생(만40세 이하)에게학자금(생활비)을 대출해주고, 취업 등 소득이 발생한 시점부터 소득수준에 따라 원리금을 상환하는 제도",교육부
695,교육,취업후상환학자금_등록금(하반기),"학자금 지원 9구간 이하 학부생(만35세 이하) 및 학자금 지원 4구간 이하 대학원생(만40세 이하)에게학자금(등록금)을 대출해주고, 취업 등 소득이 발생한 시점부터 소득수준에 따라 원리금을 상환하는 제도",교육부
696,교육,일반상환학자금_등록금,"학부생 및 대학원생(만 55세이하)에게 학자금대출(등록금)을 지원하고, 대출기간 동안(거치기간 및 상환기간) 원리금을 분할하여 상환하는 제도",교육부
697,교육,일반상환학자금_생활비,"학부생 및 대학원생(만 55세이하)에게 학자금대출(생활비)을 지원하고, 대출기간 동안(거치기간 및 상환기간) 원리금을 분할하여 상환하는 제도",교육부
698,일자리,대한체육회 운동선수 진로지원센터,"전문 운동선수 및 선수 경력자들의 전반적인 생애진로를 지원하는 상담, 멘토링, 진로역량교육 등 진로지원서비스",문화체육관광부
699,참여.권리,대한민국 바로알림단 17기모집,대한민국에 대한 올바른 정보와 아름다운 문화를 전 세계에 알리기 위하여 한국 관련 오류를 바로잡고 올바른 정보를 알리고자 하는 바로알림단 운영,문화체육관광부
700,복지.문화,농촌에서 일하고 쉬는 워케이션 참가비 지원,"창의적인 아이디어가 반짝이고 오롯이 업무에만 집중할 수 있는 곳으로, 답답한 도심을 벗어난 여유롭고 편안하게 쉴 수 있는 공간으로 농촌형 워케이션 확산을 위해 기업·근로자의 참가비 지원사업",농림축산식품부
701,일자리,2024년 양식장 임대사업 대상자 모집,양식업 신규창업을 통해 청년 귀어인 등의 어촌 정착을 돕고 어촌사회 신규인력 유입을 촉진,한국어촌어항공단
702,참여.권리,방송통신위원회 2030 자문단 모집,방송통신 정책 전반에 대해 청년세대의 인식을 전하는 핵심 창구 역할을 수행할 정책 자문단 모집,국무조정실
703,일자리,2024 예술산업아카데미 <예술산업 마케팅 특강>,"예술산업 특화 마케팅 및 활용 사례 관련 특강 수강을 희망하시는 예술산업 마케팅, 홍보, 브랜딩 담당자 및 해당 직무 입직 희망자 여러분의 많은 관심과 신청 바랍니다.",
704,일자리,대학생 연합생활관(기숙사 지원)(7월 2학기 모집 예정),대학생 주거안정을 위해 민간기부(은행연합회)를 통해 설립된 대학생 연합생활관,교육부
705,교육,다문화·탈북학생멘토링장학금,"전국의 대학(원)에 재학 중인 대학(원)생들이 다문화·탈북학생 멘티들의 학교생활 적응 및 기초 학력 향상을 위해 기초학습, 진로상담 및 문화교류 활동 등의 나눔을 실천하는 활동",교육부
706,교육,일반학자금 든든전환(한국장학재단 저금리 전환대출)(하반기),"일반 상환 학자금대출 실행자가 추후 취업 후 상환 학자금대출 조건을 충족하는 경우, 같은 학기 일반 상환 학자금대출을 취업 후 상환 학자금대출로 전환하는 제도",교육부
707,참여.권리,학생 친화형 24시간 고민상담 채널 ‘라임’,"마음 건강을 관리하고 위기 학생을 지원하는 학생 상담 채널 ‘라임(LIME)'은 모바일 기반의 24시간 상담 채널로, 9세부터 24세까지 청소년을 대상으로 전문적인 심리 상담을 지원 사업",교육부
708,복지.문화,금융·통신 취약계층 재기지원,연체 통신채무자 37만 명의 채무조정을 통해 ‘대출금+통신비’ 연체 악순환을 막고 일자리 연계로 재기를 지원 사업,금융위원회
709,일자리,갓생인턴 모집,"미래성장산업으로 각광받고 있는 농업·농촌은 농사만 짓는 곳이 아닌 모두에게 ‘일하고, 살고, 쉬고 싶은 공간’으로 바뀌고 있고, 식량안보, 미래성장산업화, 새로운 농촌공간 조성 등 농업·농촌의 공익적 가치와 직업으로서의 다양한 가능성제공을 위한 인턴쉽",농림축산식품부
710,일자리,1인 미디어 콤플렉스,‘1인 미디어 콤플렉스’ 운영을 통해 ‘트웰브랩스’ 등 스타트업의 성장을 지원 사업,과학기술정보통신부
711,주거,든든전세주택 입주자 모집 시작,국토지주택공사(LH)와 주택도시보증공사(HUG)가 수도권 내 연립·다세대·오피스텔 등을 매입해 주변 시세 대비 90% 수준의 전세보증금으로 최대 8년 동안 거주할 수 있도록 하는 공공임대주택,국토교통부
712,일자리,청년창업농장학금 지원,"농업농촌농산업 분야에 신규 청년인력을 유입하기 위하여 대학 졸업 후, 영농 및 농림축산식품분야에 취·창업을 조건으로 장학금 지원 사업",농림축산식품부
713,일자리,해외 일경험 지원사업 WELL,청년들에게 해외 일경험(Work Experience)을 통한 직무체험 학습(Learning) 기회를 제공함으로써 해외진출 사다리(Ladder) 역할 수행으로 청년들의 해외 일경험을 지원하는 사업,고용노동부
714,주거,보호종료아동 자립수당,"아동복지시설, 가정위탁 보호종료아동에게 매월 50만원의 자립수당을 지급하여 보호종료 후 경제적 부담을 완화하고 안정적인 사회 정착 및 복지 향상 지원",보건복지부
715,주거,(건강보험) 임의계속가입제도,실업자에 대한 경제적 부담을 완화하고자 임의계속가입자 보험료가 지역보험료 보다 적은 경우 임의계속보험료로 납부할 수 있도록 하는 제도,보건복지부
716,일자리,여성새로일하기센터,"혼인,임신,출산,육아 등으로 경력이 단절된 여성 등에게 취업 상담, 직업교육훈련, 인턴십 및 취업 후 사후관리 등 종합적인 취업서비스 지원",여성가족부
717,주거,청소년부모 아동양육비 지원 사업,청소년부모 가구의 자녀에 아동양육비 지원을 통해 청소년부모의 자녀양육 부담을 경감하고 청소년부모 자신의 성장과 가정의 안정을 도모,여성가족부
718,주거,청소년자립지원관,가출 등 위기청소년을 조기에 발굴하고 보호하여 자립할 수 있도록 지원,여성가족부
719,주거,청소년한부모 아동양육 및 자립지원,"만 24세 이하 청소년 한부모에게 아동양육비, 검정고시학습비, 자립촉진수당 등을 지원하여 조기 자립할 수 있도록 지원",여성가족부
720,일자리,직업역량강화 프로그램,취업에 관심이 있는 학교 밖 청소년에게 전문 직업훈련 또는 취업연계 이전에 직업선택과 관련하여 기초기술습득 및 직업체험 기회를 제공함으로써 자립 동기를 강화하고 취업의지를 고취시키는 프로그램,여성가족부
721,일자리,자립·취업지원 서비스,"진로탐색과 취업 등에 관심이 있는 학교 밖 청소년이 자립 및 취업에 성공할 수 있도록 청소년 개개인의 특성에 맞춘 맞춤형 직업훈련, 일경험(인턴십) 및 직장체험, 취업연계 등을 지원",여성가족부
722,복지.문화,자립준비청년 상담센터,"실제 자립을 경험한 선배 자립 준비청년 상담원이 직접 대상자와 소통하며, 상황에 맞는 맞춤형 자립지원 정보 제공 서비스",보건복지부
723,일자리,학교 밖 청소년 대학 입시설명회,대학 진학을 희망하는 학교 밖 청소년을 위해 대학 입시설명회와 1대1 맞춤형 상담 서비스 지원,여성가족부
724,주거,표준모자보건수첩 제공,"표준모자보건수첩 보급으로 임신부터 영유아기까지 각종 검사 및 건강관리 안내, 예방접종, 검진(검사) 등 건강기록 유지, 양육에 대한 필수·객관적 정보 제공으로 모성과 영유아의 건강증진을 도모",출산정책과
725,복지.문화,자립준비청년 상담센터,"실제 자립을 경험한 선배 자립 준비청년 상담원이 직접 대상자와 소통하며, 상황에 맞는 맞춤형 자립지원 정보를 제공하는 서비스",보건복지부
726,일자리,일자리 채움 청년지원금(빈일자리 청년취업지원금),제조업 등 빈일자리 업종 사업체에 2023.10.1.~2024.9.30. 기간 중 정규직으로 취업하여 3개월 이상 근속한 청년에게 취업지원금을 6개월 간 최대 200만원 지급,고용노동부
727,참여.권리,달리는 국민신문고,국민권익위원회의 권익구제 서비스를 모르거나 활용이 어려운 소외지역 및 취약계층 등을 직접 찾아가 현장에서 고충을 청취하고 해소하는 찾아가는 현장 권익구제 서비스,국민권익위원회
728,참여.권리,국민생각함,"국민권익위원회에서 운영하는 온라인 “정책소통공간”으로, 일상에서 마주하는 여러가지 공공의제에 대해 서로 생각을 나누고 좋은 생각은 함께 발전시켜 정부정책으로 만들어가는 사업",국민권익위원회
729,일자리,도시재생 청년인턴십(일경험 수련생) 모집,청년에게 도시재생분야 일 경험 및 교육을 제공하여 직무능력 개발과 경력 형성 기회를 제공하는 인턴십 제도,국토교통부
730,일자리,취업지원대상자 취업능력개발비용 지원(국가보훈부),국가보훈대상자 및 유가족 취업지원대상자의 취업 경쟁력 향상을 위한 취업수강료 지원,국가보훈처
731,주거,행복주택,"대학생, 청년, , 신혼부부 등을 위해 학교·직장이 가까운 곳이나 대중교통이 편리한 곳에 국가 재정과 주택도시기금을 지원받아 건설, 공급하는 임대주택 사업",국토교통부
732,주거,에너지바우처,"국민 모두가 시원한 여름, 따뜻한 겨울을 보낼 수 있도록 에너지 취약계층을 위해 에너지바우처(이용권)을 지급하여 전기, 도시가스, 지역난방, 등유, LPG, 연탄을 구입할 수 있도록 지원하는 제도",산업통상자원부
733,참여.권리,농촌관광 아이디어 경진대회,농촌소멸의 위기 극복을 위해 농촌지역 방문·교류 등 농촌관광 활성화로 찾고 머무는 농촌을 만드는 창의적 아이디어 발굴,농림축산식품부
734,일자리,화학물질 안전관리 전문인력 양성사업,"국내외 화학안전제도의 대응 및 이행역량을 확복하기 위한 전문인력을 양성하기 위하여 화학물질 컨설팅 기관, GLP기관 및 일반화학기업 등 참여기관과 교육생을 모집하여 인턴쉽(12주) 형태의 취업연계 프로그램",환경부
735,일자리,제대군인 직업능력 개발훈련,전역 예정자의 직업능력 개발훈련 지원 사업,국가보훈처
736,복지.문화,중·장기복무제대군인 무료법률구조지원,"국토방위의 임무를 성실히 수행하고 전역 후 사회에 적응하는 과정에서 경제적으로 어렵거나, 법을 모르기 때문에 법의 보호를 충분히 받지 못하는 중·장기복무제대군인에 대해 소송비용 등을 국가가 부담하여 대한법률구조공단에서 지원을 받도록 하는 제도",국가보훈부
737,일자리,전국민 마음투자 지원사업,"우울·불안 등 정서적 어려움이 있는 국민에게 전문적인 심리상담 서비스를 제공하여, 국민의 마음건강을 돌봄",보건복지부
738,일자리,제대군인 직업능력개발교육비,제대군인 및 전역예정자를 대상으로 개인의 전직목표와 적성에 맞는 맞춤식 전문교육을 통해 취업에 직접적으로 필요한 교육훈련과정 지원 사업,국가보훈처
739,교육,제대군인 사이버교육,"제대군인 특성에 맞는 시장 친화적이며 취창업과 연계한 차별화된 직업교육 확대, 시간장소 제약 없이 다양한 교육과정을 제공함으로써 직업능력 역량을 제고하여 성공적인 사회복귀지원",국가보훈처
740,교육,데이터 청년 캠퍼스,"빅데이터 기술을 선도하는 국내 최고의 대학이 기업 수요에 부응하는 실무 중심의 교육을 실시하고, 한국데이터산업진흥원과 관련 기업이 빅데이터 직무 취업을 지원하는 데이터 융합 인재 양성 프로그램",과학기술정보통신부
741,복지.문화,자립준비청년을 위한 「희망출발 재무상담」 서비스,자립준비청년*이 건전한 재무 습관을 형성하고 경제적으로 자립할 수 있도록 돕는 심층 재무상담 지원사업,보건복지부
742,교육,현장실습 지원금,산업체 채용형 현장실습 이수자를 위한 지원금,교육부
743,주거,장애인 건강검진사업,"장애친화 건강검진기관을 통해 장애인과 비장애인간, 장애유형간 국가건강검진 수검률 격차를 해소하고 건강검진 예방의료서비스 이용접근성을 보장하여, 건강위험요인 및 질병을 조기발견하고 치료를 받음으로써 장애인의 건강 불평등 완화 및 장애인의 건강한 삶을 도모하기 위한 지원사업",장애인건강과
744,교육,대학생 청소년교육지원 장학금,"대학생이 초·중·고등학생에게 학습지원과 상담(학교생활·교우관계·진로지도) 등의 활동을 수행하고, 그 대가(장학금)를 지원함으로써 안정적인 학업 여건 조성",교육부
745,교육,KDB NextONE(서울 · 부산) 모집 공고,산업은행이 대한민국의 미래성장 및 혁신기술을 선도할 유망 스타트업 발굴 및 육성을 위해 혁신성장을 이끌 차세대 스타트업 지원,중소벤처기업부
746,복지.문화,긴급돌봄 지원사업,"질병, 부상, 주돌봄자의 갑작스러운 부재(사망, 입원 등) 등에 대응해 신속하게 돌봄 공백을 보완하여 국민의 돌봄 불안을 해소합니다.",사회서비스사업과
747,일자리,자립준비청년(보호종료아동) 자립정착금 지원,아동복지시설 및 가정위탁보호아동이 퇴소 또는 위탁종료 시 경제적 지원을 통해 안정적인 사회정착 지원 사업,아동복지정책과
748,교육,"신진연구자 기초연구비 지원(신진연구, 생애첫연구)",신진연구자의 연구역량 강화를 위한 기초연구비 지원 및 연구역량을 갖춘 신진연구자에게 연구기회 보장 및 조기 연구 정착 유도를 위해 ‘생애 첫 연구’를 지원,과학기술정보통신부
749,교육,SW마에스트로 과정(전문가 멘토링을 통한 최고급 SW인재 양성),디지털 대전환 시대의 핵심인 소프트웨어(SW) 산업을 이끌어갈 고급 인재를 육성,과학기술정보통신부
750,교육,국가우수장학금(이공계),우수 인재를 이공계로 적극 유도하여 국가 핵심 인재군으로 육성하고 과학기술분야 국가 경쟁력 우위를 확보하기 위하여 지원하는 사업,과학기술정보통신부
751,참여.권리,국가연구개발사업 학생인건비 통합관리,청년과학기술인의 내실 있는 연구 수행을 위한 환경 개선 및 권익 강화,과학기술정보통신부
